State,County Name/State Abbreviation,Force_13,Employed_13,Unemployed_13,(%)_13,Unemployed_14,(%)_14,Labor Force_16,Employed_16,Unemployed_16,Rate_16,Labor Force_17,Employed_17,Unemployed_17,(%)_17,Force_18,Employed_18,Unemployed_18,(%)_18,Force_19,Employed_19,Unemployed_19,(%)_19,Force_20,Employed_20,Unemployed_20,(%)_20,Force_21,Employed_21,Unemployed_21,(%)_21,Force_22,Employed_22,Unemployed_22,(%)_22,Force_23,Employed_23,Unemployed_23,(%)_23,Minimum Wage 2013,Minimum Wage 2014,Minimum Wage 2015,Minimum Wage 2016,Minimum Wage 2017,Minimum Wage 2018,Minimum Wage 2019,Minimum Wage 2020,Minimum Wage 2021,Minimum Wage 2022,Minimum Wage 2023,LastTwoLetters,Population_2010,RUCC_2013,Description_x,FIPS,Population_2020,RUCC_2023,Description_y,GeoFips,  Taxes on production and imports (TOPI) (millions of dollars) 2013,  Taxes on production and imports (TOPI) (millions of dollars) 2014,  Taxes on production and imports (TOPI) (millions of dollars) 2015,  Taxes on production and imports (TOPI) (millions of dollars) 2016,  Taxes on production and imports (TOPI) (millions of dollars) 2017,  Taxes on production and imports (TOPI) (millions of dollars) 2018,  Taxes on production and imports (TOPI) (millions of dollars) 2019,  Taxes on production and imports (TOPI) (millions of dollars) 2020,  Taxes on production and imports (TOPI) (millions of dollars) 2021,  Taxes on production and imports (TOPI) (millions of dollars) 2022,  Taxes on production and imports (TOPI) (millions of dollars) 2023,Compensation (millions of dollars) 2013,Compensation (millions of dollars) 2014,Compensation (millions of dollars) 2015,Compensation (millions of dollars) 2016,Compensation (millions of dollars) 2017,Compensation (millions of dollars) 2018,Compensation (millions of dollars) 2019,Compensation (millions of dollars) 2020,Compensation (millions of dollars) 2021,Compensation (millions of dollars) 2022,Compensation (millions of dollars) 2023,Current-dollar GDP (millions of current dollars) 2013,Current-dollar GDP (millions of current dollars) 2014,Current-dollar GDP (millions of current dollars) 2015,Current-dollar GDP (millions of current dollars) 2016,Current-dollar GDP (millions of current dollars) 2017,Current-dollar GDP (millions of current dollars) 2018,Current-dollar GDP (millions of current dollars) 2019,Current-dollar GDP (millions of current dollars) 2020,Current-dollar GDP (millions of current dollars) 2021,Current-dollar GDP (millions of current dollars) 2022,Current-dollar GDP (millions of current dollars) 2023,Gross operating surplus (millions of dollars) 2013,Gross operating surplus (millions of dollars) 2014,Gross operating surplus (millions of dollars) 2015,Gross operating surplus (millions of dollars) 2016,Gross operating surplus (millions of dollars) 2017,Gross operating surplus (millions of dollars) 2018,Gross operating surplus (millions of dollars) 2019,Gross operating surplus (millions of dollars) 2020,Gross operating surplus (millions of dollars) 2021,Gross operating surplus (millions of dollars) 2022,Gross operating surplus (millions of dollars) 2023,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2013,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2014,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2015,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2016,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2017,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2018,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2019,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2020,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2021,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2022,Taxes on production and imports (TOPI) less subsides (millions of dollars) 2023
Alabama,Autauga County,"25,783","24,155","1,628",6.3,"1,489",5.8,"25,710","24,395","1,315",5.1,"26,269","25,224","1,045",4,"26,471","25,515",956,3.6,"26,683","25,914",769,2.9,"26,350","24,955","1,395",5.3,"26,429","25,698",731,2.8,"26,656","26,065",591,2.2,"27,000","26,409",591,2.2,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"54,571",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",1001,"58,805",2,"Metro - Counties in metro areas of 250,000 to 1 million population",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Baldwin County,"85,206","79,466","5,740",6.7,"5,281",6.1,"89,778","84,972","4,806",5.4,"93,152","89,286","3,866",4.2,"96,235","92,734","3,501",3.6,"98,917","96,023","2,894",2.9,"98,695","92,639","6,056",6.1,"99,520","96,619","2,901",2.9,"102,280","99,930","2,350",2.3,"104,409","102,029","2,380",2.3,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"182,265",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",1003,"231,767",3,"Metro - Counties in metro areas of fewer than 250,000 population",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Barbour County,"9,096","8,152",944,10.4,929,10.5,"8,334","7,638",696,8.4,"8,415","7,914",501,6,"8,505","8,068",437,5.1,"8,637","8,290",347,4,"8,659","7,995",664,7.7,"8,243","7,787",456,5.5,"8,139","7,813",326,4,"7,944","7,592",352,4.4,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"27,457",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",1005,"25,223",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Bibb County,"8,699","8,000",699,8,614,7.2,"8,539","7,986",553,6.5,"8,648","8,261",387,4.5,"8,697","8,351",346,4,"8,771","8,486",285,3.2,"8,692","8,063",629,7.2,"8,604","8,312",292,3.4,"8,688","8,476",212,2.4,"8,772","8,556",216,2.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"22,915",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,1007,"22,293",1,Metro - Counties in metro areas of 1 million population or more,01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Blount County,"24,860","23,277","1,583",6.4,"1,497",6.1,"24,380","23,061","1,319",5.4,"25,009","23,979","1,030",4.1,"25,333","24,445",888,3.5,"25,580","24,855",725,2.8,"25,065","23,944","1,121",4.5,"25,268","24,674",594,2.4,"25,685","25,128",557,2.2,"25,836","25,282",554,2.1,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"57,322",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,1009,"59,134",1,Metro - Counties in metro areas of 1 million population or more,01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Bullock County,"4,774","4,322",452,9.5,415,8.8,"4,785","4,457",328,6.9,"4,890","4,644",246,5,"4,843","4,617",226,4.7,"4,862","4,672",190,3.9,"4,866","4,577",289,5.9,"4,617","4,436",181,3.9,"4,541","4,416",125,2.8,"4,500","4,393",107,2.4,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"10,914",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",1011,"10,357",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Butler County,"9,144","8,189",955,10.4,789,8.5,"9,116","8,484",632,6.9,"9,046","8,536",510,5.6,"9,069","8,639",430,4.7,"9,317","8,954",363,3.9,"9,211","8,335",876,9.5,"8,781","8,332",449,5.1,"8,811","8,518",293,3.3,"9,009","8,746",263,2.9,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"20,947",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",1013,"19,051",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Calhoun County,"48,381","44,068","4,313",8.9,"3,759",7.9,"45,450","42,470","2,980",6.6,"46,304","43,960","2,344",5.1,"46,800","44,636","2,164",4.6,"46,806","45,055","1,751",3.7,"46,910","43,315","3,595",7.7,"46,166","44,307","1,859",4,"45,733","44,371","1,362",3,"45,540","44,256","1,284",2.8,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"118,572",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",1015,"116,441",3,"Metro - Counties in metro areas of fewer than 250,000 population",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Chambers County,"15,263","14,028","1,235",8.1,"1,021",6.7,"14,858","14,044",814,5.5,"15,375","14,734",641,4.2,"15,529","14,924",605,3.9,"15,991","15,498",493,3.1,"16,055","14,866","1,189",7.4,"15,722","15,155",567,3.6,"15,906","15,508",398,2.5,"16,272","15,884",388,2.4,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"34,215",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",1017,"34,772",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
Alabama,Cherokee County,"11,392","10,627",765,6.7,659,5.8,"11,241","10,671",570,5.1,"11,470","10,993",477,4.2,"11,810","11,389",421,3.6,"11,906","11,544",362,3,"11,649","11,060",589,5.1,"11,635","11,341",294,2.5,"11,723","11,457",266,2.3,"11,854","11,570",284,2.4,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,AL,"25,989",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",1019,"24,971",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",01000,12126.8,12263.5,12124.3,12969.4,13457.8,14062.7,14573.3,15416,16655.2,17614.1,18064.7,102149.1,105994.6,109984.6,112832.2,116587.1,121558.4,126937.8,129847.3,139331.7,149053.7,158996.9,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,80174,79285,81453.6,83556.4,87147.3,91126.8,93894.5,97982.2,111165.8,119232.4,128632,11658.5,11784.9,11675.1,12435.7,12881,13578.5,13965.9,7495.8,9521,16663,17306.7
